/Users/bryanantonelli/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

🔍 INGEST STARTUP
• CHANNELS_DIR: /Users/bryanantonelli/forged-by-freedom/ingest/channels
• Pinecone index: forged-freedom-ai
• Embedding model: text-embedding-3-large
• Chunk tokens: 3000
• Episodes to ingest: 4184
🚀 BEGIN INGEST

✅ [49/4184] @bodybuildingcom | unknown | Getting Ripped And Cover Ready - Part 1 ... | 1 chunks
✅ [50/4184] @bodybuildingcom | unknown | Define Your Greatness - Show Us Your Bea... | 1 chunks
✅ [51/4184] @bodybuildingcom | unknown | Ava Cowan： Naturally Driven - Ava's Stor... | 1 chunks
✅ [52/4184] @bodybuildingcom | Hunter Labrada's Chest Workout | 5 Moves To Powerful Pecs ｜ Hunter Labrad... | 1 chunks
✅ [53/4184] @bodybuildingcom | unknown | Cable Crunch - Abs ⧸ Core Exercise - Bod... | 1 chunks
✅ [54/4184] @bodybuildingcom | Build Legs You'll Love | Ashley Hoffmann Legs Workout ｜ Build Leg... | 1 chunks
✅ [55/4184] @bodybuildingcom | unknown | How To Bench Press： Layne Norton's Compl... | 1 chunks
✅ [56/4184] @bodybuildingcom | unknown | NFL Combine Trainer： Shuttle Run - Bodyb... | 1 chunks
✅ [57/4184] @bodybuildingcom | unknown | Train Abs with Ashley Conrad - Bodybuild... | 1 chunks
✅ [58/4184] @bodybuildingcom | unknown | Soy Protein Guide - Bodybuilding.com... | 1 chunks
✅ [59/4184] @bodybuildingcom | Hunter Labrada | 5 Moves To Massive Shoulders ｜ Hunter La... | 1 chunks
✅ [60/4184] @bodybuildingcom | unknown | Train with Vinny Russo - Bodybuilding.co... | 2 chunks
✅ [61/4184] @bodybuildingcom | unknown | Crunches - Ab Exercises - Bodybuilding.c... | 1 chunks
✅ [62/4184] @bodybuildingcom | unknown | Gladiator Circuit Workout ｜ Spartacus： G... | 1 chunks
✅ [63/4184] @bodybuildingcom | Katie Chung Hua | Upper-Body Dorm Room Workout ｜ Katie Chu... | 1 chunks
✅ [64/4184] @bodybuildingcom | Hellraiser Training Testimonial | Ross Bowman ｜ Hellraiser Training Testim... | 1 chunks
✅ [65/4184] @bodybuildingcom | unknown | Jackknife Sit Up - Core ⧸ Abs - Bodybuil... | 1 chunks
✅ [66/4184] @bodybuildingcom | unknown | Ab Roller - Ab Exercises - Bodybuilding.... | 1 chunks
✅ [67/4184] @bodybuildingcom | unknown | MuscleTech Fit Squad Fitness Challenge： ... | 1 chunks
✅ [68/4184] @bodybuildingcom | unknown | Meet the Bodybuilding.com Master Coaches... | 1 chunks
✅ [69/4184] @bodybuildingcom | unknown | Back & Biceps With Sonya Vecchiarelli - ... | 1 chunks
✅ [70/4184] @bodybuildingcom | unknown | One Arm Dumbbell Row - Back Exercise - B... | 1 chunks
✅ [71/4184] @bodybuildingcom | unknown | Jennifer Nicole Lee -- Fitness for Women... | 1 chunks
✅ [72/4184] @bodybuildingcom | unknown | Train Hard & Eat Right For One Solid Yea... | 1 chunks
✅ [73/4184] @bodybuildingcom | unknown | Take a T-levels test to gain health insi... | 1 chunks
✅ [74/4184] @bodybuildingcom | unknown | James Grage's Rewired Fitness Trainer - ... | 1 chunks
✅ [75/4184] @bodybuildingcom | unknown | Standing Calf Raises - Calves Exercise -... | 1 chunks
✅ [76/4184] @bodybuildingcom | The Westside Method EP 3 | Breaking Down the Westside Method ｜ The ... | 1 chunks
✅ [77/4184] @bodybuildingcom | unknown | This is Bodybuilding.com： Athletes Versi... | 1 chunks
✅ [78/4184] @bodybuildingcom | unknown | Power Clean - Back & Legs Exercise - Bod... | 1 chunks
✅ [79/4184] @bodybuildingcom | unknown | Butt Lift Bridge - Legs ⧸ Glutes Exercis... | 1 chunks
✅ [80/4184] @bodybuildingcom | unknown | Jim Stoppani's 6-Week Shortcut To Shred ... | 1 chunks
✅ [81/4184] @bodybuildingcom | unknown | Ashley Conrad's 21-Day Clutch Cut Traini... | 1 chunks
✅ [82/4184] @bodybuildingcom | unknown | Laura McGraw Fitness 360： Survivor Stron... | 1 chunks
✅ [83/4184] @bodybuildingcom | unknown | Jamie Eason's Fish in Foil Recipe -- Bod... | 1 chunks
✅ [84/4184] @bodybuildingcom | unknown | Bench Press - Chest Exercise - Bodybuild... | 1 chunks
✅ [85/4184] @bodybuildingcom | unknown | Seated Cable Rows - Back Exercise - Body... | 1 chunks
✅ [86/4184] @bodybuildingcom | unknown | Seated Bent Over Rear Delt Raise - Shoul... | 1 chunks
✅ [87/4184] @bodybuildingcom | unknown | Taco Potato Bowls IG：@jalalsamfit#mealpr... | 1 chunks
✅ [88/4184] @bodybuildingcom | Big Man on Campus | Steve Cook Leg Workout for Strength ｜ Bi... | 1 chunks
✅ [89/4184] @bodybuildingcom | unknown | 2011 Employee Transformation Challenge... | 1 chunks
✅ [90/4184] @bodybuildingcom | unknown | Ashley Conrad's Upper-Body Circuit Worko... | 1 chunks
